"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 07 01:42:30 GMT 2023","Thu Dec 07 01:42:30 GMT 2023","426","chromium","account-screen-test.spec.js","Check initial information","","","verify information Notifications",""
"failed","Thu Dec 07 01:42:34 GMT 2023","Thu Dec 07 01:42:34 GMT 2023","307","chromium","account-screen-test.spec.js","Check information at each field","","","Check email",""
"failed","Thu Dec 07 01:42:27 GMT 2023","Thu Dec 07 01:42:28 GMT 2023","301","chromium","account-screen-test.spec.js","Check initial information","","","verify display Basic Details",""
"passed","Thu Dec 07 01:42:46 GMT 2023","Thu Dec 07 01:42:46 GMT 2023","475","chromium","example.spec.js","","","","get started link",""
"failed","Thu Dec 07 01:42:48 GMT 2023","Thu Dec 07 01:42:48 GMT 2023","323","chromium","login.spec.js","check information dashboard","","","test login successful",""
"failed","Thu Dec 07 01:42:42 GMT 2023","Thu Dec 07 01:42:43 GMT 2023","301","chromium","account-screen-test.spec.js","Check information at each field","","","Check notification",""
"failed","Thu Dec 07 01:42:40 GMT 2023","Thu Dec 07 01:42:41 GMT 2023","276","chromium","account-screen-test.spec.js","Check information at each field","","","check Security field",""
"failed","Thu Dec 07 01:42:36 GMT 2023","Thu Dec 07 01:42:36 GMT 2023","291","chromium","account-screen-test.spec.js","Check information at each field","","","Check name user",""
"failed","Thu Dec 07 01:43:00 GMT 2023","Thu Dec 07 01:43:05 GMT 2023","5301","chromium","login.spec.js","check information dashboard","","","check info default of tab dashboard",""
"failed","Thu Dec 07 01:42:32 GMT 2023","Thu Dec 07 01:42:32 GMT 2023","304","chromium","account-screen-test.spec.js","Check initial information","","","verify infomation User API Key",""
"failed","Thu Dec 07 01:42:44 GMT 2023","Thu Dec 07 01:42:45 GMT 2023","321","chromium","account-screen-test.spec.js","Check information at each field","","","Check User Api Key",""
"passed","Thu Dec 07 01:42:45 GMT 2023","Thu Dec 07 01:42:46 GMT 2023","939","chromium","example.spec.js","","","","has title",""
"failed","Thu Dec 07 01:42:38 GMT 2023","Thu Dec 07 01:42:39 GMT 2023","459","chromium","account-screen-test.spec.js","Check information at each field","","","Check receive email",""
